# A b Om H0
1.425010528431845724e+00 2.626596996945270845e+01 1.244539254494405889e-01 7.020379448135146561e+01
1.675108021678035852e+00 2.620599415657450848e+01 1.228033480129535615e-01 6.958939382165721099e+01
1.618498592007040715e+00 2.630980362884269042e+01 1.217571650883889217e-01 6.984695796300981385e+01
1.603368686876140981e+00 2.653854717226807480e+01 1.255202778911123640e-01 6.985795617654925138e+01
1.533615688933902765e+00 2.641361785158303022e+01 1.264254263944006584e-01 7.002623007500187668e+01
1.607308432190041270e+00 2.621933845893331849e+01 1.259264834496345298e-01 6.968777345950138624e+01
1.384386998068232622e+00 2.665819211914348230e+01 1.333671268802446297e-01 6.991279626890370480e+01
1.435224995511430679e+00 2.605554702871027217e+01 1.252112165606279748e-01 7.018801617720998820e+01
1.557648942808014247e+00 2.643299212667329812e+01 1.258465441482055636e-01 6.993840507466697431e+01
1.503664561532663813e+00 2.655885845486287877e+01 1.255085895293782117e-01 7.006874100534153627e+01
1.349109057507903664e+00 2.630035277784996239e+01 1.249269397245404700e-01 7.031810002553251593e+01
1.447342596696037154e+00 2.606680639178668812e+01 1.271576040327323243e-01 6.997072660293964930e+01
1.518294699227972000e+00 2.617971019854279646e+01 1.220845921644991838e-01 7.012709274538794091e+01
1.475851123961940958e+00 2.592890012248054532e+01 1.262364252470710158e-01 7.004154524953248995e+01
1.658529481632958547e+00 2.656305437259426583e+01 1.273940095992808774e-01 6.949931836444237376e+01
1.354599273013290972e+00 2.634516697935200114e+01 1.303480561555521999e-01 7.018387966559654956e+01
1.479995525729036920e+00 2.596323560429972233e+01 1.236090711120911567e-01 6.990738890082313617e+01
1.522226243691226832e+00 2.693807384625341683e+01 1.265522733524869770e-01 6.982583582842376302e+01
1.562881600279611094e+00 2.662182369702859930e+01 1.251660394292156142e-01 6.981114750238002387e+01
1.590158616207338449e+00 2.612324553319274401e+01 1.266238507042904693e-01 6.975137642405522342e+01
1.425010528431845724e+00 2.626596996945270845e+01 1.244539254494405889e-01 7.020379448135146561e+01
1.675108021678035852e+00 2.620599415657450848e+01 1.228033480129535615e-01 6.958939382165721099e+01
1.618498592007040715e+00 2.630980362884269042e+01 1.217571650883889217e-01 6.984695796300981385e+01
1.603368686876140981e+00 2.653854717226807480e+01 1.255202778911123640e-01 6.985795617654925138e+01
1.575903159842193313e+00 2.636189906293349239e+01 1.240997641347089120e-01 6.993691922504190472e+01
1.625958266752685066e+00 2.605038013393916074e+01 1.262457084441954147e-01 6.963598256219748350e+01
1.384386998068232622e+00 2.665819211914348230e+01 1.333671268802446297e-01 6.991279626890370480e+01
1.435224995511430679e+00 2.605554702871027217e+01 1.252112165606279748e-01 7.018801617720998820e+01
1.596740569678306798e+00 2.667390046401274972e+01 1.256602178297824834e-01 6.988911381864012640e+01
1.513347330036540983e+00 2.651009280162007187e+01 1.256334399115074107e-01 7.003321292444067581e+01
1.155354677622963289e+00 2.600898515042263881e+01 1.247102298776660845e-01 7.077758032398887167e+01
1.364816595775966368e+00 2.587716619643577687e+01 1.272155683469146370e-01 7.014799582505939668e+01
